Book Name,Total Tokens,Unique Tokens,Min Colors
AbsalomAbsalom.txt,14,12,3
AbsalomAbsalom.txt,17,16,3
AbsalomAbsalom.txt,81,54,3
AbsalomAbsalom.txt,62,47,3
AbsalomAbsalom.txt,60,46,3
AbsalomAbsalom.txt,36,30,3
AbsalomAbsalom.txt,103,70,3
AbsalomAbsalom.txt,43,36,3
AbsalomAbsalom.txt,126,76,3
AbsalomAbsalom.txt,44,39,3
AbsalomAbsalom.txt,26,25,2
AbsalomAbsalom.txt,78,62,3
AbsalomAbsalom.txt,99,70,3
AbsalomAbsalom.txt,288,161,4
AbsalomAbsalom.txt,126,85,3
AbsalomAbsalom.txt,11,11,2
AbsalomAbsalom.txt,7,7,2
AbsalomAbsalom.txt,4,4,2
AbsalomAbsalom.txt,11,11,2
AbsalomAbsalom.txt,82,57,3
AbsalomAbsalom.txt,77,54,3
AbsalomAbsalom.txt,50,37,3
AbsalomAbsalom.txt,8,8,2
AbsalomAbsalom.txt,28,24,3
AbsalomAbsalom.txt,200,132,4
AbsalomAbsalom.txt,40,32,3
AbsalomAbsalom.txt,15,14,2
AbsalomAbsalom.txt,10,10,2
AbsalomAbsalom.txt,51,41,3
AbsalomAbsalom.txt,54,38,3
AbsalomAbsalom.txt,46,40,3
AbsalomAbsalom.txt,69,56,3
AbsalomAbsalom.txt,103,67,3
AbsalomAbsalom.txt,23,22,2
AbsalomAbsalom.txt,17,16,3
AbsalomAbsalom.txt,24,19,3
AbsalomAbsalom.txt,63,47,3
AbsalomAbsalom.txt,14,12,2
AbsalomAbsalom.txt,55,40,3
AbsalomAbsalom.txt,136,86,3
AbsalomAbsalom.txt,130,86,3
AbsalomAbsalom.txt,122,84,3
AbsalomAbsalom.txt,57,43,3
AbsalomAbsalom.txt,118,85,3
AbsalomAbsalom.txt,98,70,3
AbsalomAbsalom.txt,21,20,3
AbsalomAbsalom.txt,193,126,3
AbsalomAbsalom.txt,16,16,2
AbsalomAbsalom.txt,22,18,3
AbsalomAbsalom.txt,33,30,3
AbsalomAbsalom.txt,8,8,2
AbsalomAbsalom.txt,53,41,3
AbsalomAbsalom.txt,32,29,3
AbsalomAbsalom.txt,16,16,2
AbsalomAbsalom.txt,22,21,3
AbsalomAbsalom.txt,80,58,3
AbsalomAbsalom.txt,8,8,2
AbsalomAbsalom.txt,10,10,2
AbsalomAbsalom.txt,62,46,3
AbsalomAbsalom.txt,106,67,3
AbsalomAbsalom.txt,29,23,3
AbsalomAbsalom.txt,22,21,2
AbsalomAbsalom.txt,85,60,3
AbsalomAbsalom.txt,91,62,3
AbsalomAbsalom.txt,8,8,2
